name,unit,avg,count,max,min,std,sum,allTag,architectures,benchmarks,benchmarkStart,bots,builds,deviceIds,displayLabel,masters,memoryAmounts,osNames,osVersions,productVersions,stories,storysetRepeats,traceStart,traceUrls
Charts-observable-plot,ms,6268.5199999973165,10,8740.89999999106,3046.999999985099,2137.487994403229,62685.19999997318,all,x86_64,speedometer3,2026-03-15 12:54:22,,,,tsan-all-stmt-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:54:22,
Charts-observable-plot,ms,7998.299999999999,10,14059.799999982119,4915.0999999940395,2595.988533616402,79983,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
TodoMVC-WebComponents,ms,1604.0799999967219,10,2162,1227.3999999910593,286.0733736558787,16040.799999967217,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
Charts-chartjs,ms,6371.830000001191,10,9282.699999988079,3544,1702.0791495111034,63718.30000001192,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
TodoMVC-Svelte-Complex-DOM,ms,1302.0900000050665,10,1652.4000000059605,900.2000000029802,267.07311296530366,13020.900000050664,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
TodoMVC-React-Complex-DOM,ms,5827.330000002682,10,14621.500000014901,1759.800000011921,4943.721065499497,58273.30000002682,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
React-Stockcharts-SVG,ms,10530.010000005364,10,15300.999999985099,5294.500000014901,3156.7040474509754,105300.10000005364,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
TodoMVC-Lit-Complex-DOM,ms,2384.529999998211,10,6198.20000000298,1509.5,1373.2890438264874,23845.29999998212,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
TodoMVC-React-Redux,ms,6437.50000000298,10,17871.899999976158,1702.300000026822,5196.971880483592,64375.0000000298,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
Perf-Dashboard,ms,3748.920000001788,10,5865.29999999702,2218.699999988079,1170.1658180674863,37489.20000001788,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
NewsSite-Next,ms,9446.799999998511,10,16512.09999999404,5569.099999979138,3333.991856620516,94467.9999999851,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
TodoMVC-Backbone,ms,3789.810000000894,10,6110.300000011921,1542.3999999910593,1857.2719692320848,37898.10000000894,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
Score,,0.22790524087364297,10,0.30043532583138416,0.16827289730711897,0.04445397578391332,2.27905240873643,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
NewsSite-Nuxt,ms,6690.349999997021,10,10428.799999982119,4818.800000011921,1824.4055630043497,66903.4999999702,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
TodoMVC-Angular-Complex-DOM,ms,9311.97000000179,10,19835.70000001788,2519.9999999701977,5544.577181177602,93119.70000001788,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
TodoMVC-JavaScript-ES5,ms,8256.030000001192,10,15036.10000000894,4495.29999999702,3792.3969685202446,82560.30000001192,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
Editor-CodeMirror,ms,1876.8099999979136,10,5078.399999991059,1082.300000011921,1204.6156034645476,18768.09999997914,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
TodoMVC-Vue,ms,2488.8400000050665,10,4096.699999988079,1482.6000000238419,836.5002400135176,24888.400000050664,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
TodoMVC-JavaScript-ES6-Webpack-Complex-DOM,ms,7710.009999999405,10,12271.59999999404,5474.100000008941,2500.6026271196333,77100.09999999404,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
Editor-TipTap,ms,4326.370000000298,10,6659.0999999940395,2539.300000011921,1501.7218658383738,43263.70000000298,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
TodoMVC-jQuery,ms,30064.62000000328,10,39071.40000000596,19987.000000029802,5857.5346552264255,300646.2000000328,all,x86_64,speedometer3,2026-03-15 12:19:40,,,,tsan-all-no-peeling,,,linux,arch,,Speedometer3,0,2026-03-15 12:19:40,
Charts-observable-plot,ms,6670.909999999404,10,8664.799999982119,4922.699999958277,1150.108898652562,66709.09999999404,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
TodoMVC-WebComponents,ms,1540.0399999886752,10,2242.100000023842,1179.699999988079,370.3654657690795,15400.399999886751,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
Charts-chartjs,ms,7419.670000004768,10,9977.59999999404,5542.200000017881,1757.721608632192,74196.70000004768,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
TodoMVC-Svelte-Complex-DOM,ms,1418.8700000047684,10,2860.9000000059605,1074.1000000536442,514.7951567794471,14188.700000047684,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
TodoMVC-React-Complex-DOM,ms,4981.409999999403,10,10792.600000023842,2002.3999999761581,2986.060801447428,49814.09999999404,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
React-Stockcharts-SVG,ms,9432.270000013708,10,13316.399999976158,5783.500000029802,2621.572160207125,94322.70000013709,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
TodoMVC-Lit-Complex-DOM,ms,2078.7300000190735,10,3107.2000000476837,1717.900000065565,390.1092640388338,20787.300000190735,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
TodoMVC-React-Redux,ms,8205.42999997437,10,15513.699999988079,3292.9999999701977,3611.0812074577047,82054.2999997437,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
Perf-Dashboard,ms,4693.359999999404,10,8063.300000011921,2629.600000023842,1971.3500496457698,46933.59999999404,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
NewsSite-Next,ms,8679.819999998808,10,10687.300000011921,7639.000000029802,1024.0860703872277,86798.19999998808,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
TodoMVC-Backbone,ms,4332.2,10,7494.900000035763,1815.5999999940395,1947.8582500376403,43322,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
Score,,0.21970295918877253,10,0.28051826633454924,0.1814985368661018,0.03323435146858025,2.197029591887725,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
NewsSite-Nuxt,ms,5872.279999995231,10,8371.799999982119,4908.699999928474,1122.957612538363,58722.799999952316,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
TodoMVC-Angular-Complex-DOM,ms,7249.6099999964235,10,12572,1994.4000000059605,3515.3738317021757,72496.09999996424,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
TodoMVC-JavaScript-ES5,ms,7893.909999990464,10,12215.40000000596,4756.5999999940395,2713.2099163100997,78939.09999990463,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
Editor-CodeMirror,ms,2137.9800000071527,10,4345.4000000059605,1118.2000000178814,1012.8493249776513,21379.800000071526,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
TodoMVC-Vue,ms,3298.9100000143053,10,4875.300000041723,1487.9999999701977,1283.78403640135,32989.10000014305,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
TodoMVC-JavaScript-ES6-Webpack-Complex-DOM,ms,7271.359999999404,10,14270.499999970198,5644.799999982119,2685.0515737562723,72713.59999999404,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
Editor-TipTap,ms,3707.6600000083445,10,5220.200000017881,2700.0999999940395,946.5911768007766,37076.60000008345,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
TodoMVC-jQuery,ms,32295.420000001788,10,40998.59999996424,24705.599999934435,5271.56780112056,322954.2000000179,all,x86_64,speedometer3,2026-03-13 19:50:56,,,,tsan-all-stmt,,,linux,arch,,Speedometer3,0,2026-03-13 19:50:56,
Charts-observable-plot,ms,7088.77999998927,10,8772.799999952316,5033.0999999940395,1344.074046230291,70887.79999989271,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
TodoMVC-WebComponents,ms,1484.9299999982118,10,2371.1999999582767,1152.4000000357628,363.73831571478394,14849.299999982119,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
Charts-chartjs,ms,7823.79999999702,10,10282.399999976158,3413.399999976158,2084.6204834372875,78237.9999999702,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
TodoMVC-Svelte-Complex-DOM,ms,1256.9399999886753,10,1992.7999999523163,921.4999999701977,336.2338478408786,12569.399999886751,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
TodoMVC-React-Complex-DOM,ms,5656.670000004769,10,11381.700000077486,1865.2000000178814,4196.872858347017,56566.700000047684,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
React-Stockcharts-SVG,ms,9677.920000007749,10,13725.700000017881,4649.799999982119,2910.0079472184284,96779.20000007749,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
TodoMVC-Lit-Complex-DOM,ms,2499.930000001192,10,5721.900000035763,1649.9999999403954,1196.1568645382915,24999.30000001192,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
TodoMVC-React-Redux,ms,7433.190000003577,10,12763.300000011921,1947.9000000059605,4467.061266263206,74331.90000003576,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
Perf-Dashboard,ms,5569.029999998212,10,8868.199999988079,2310.2000000178814,2136.826334150735,55690.29999998212,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
NewsSite-Next,ms,9633.229999995232,10,12881.799999982119,5232.5999999940395,2611.949028359949,96332.29999995232,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
TodoMVC-Backbone,ms,3935.570000013709,10,6523.300000071526,1809.7000000476837,1382.1014563588367,39355.70000013709,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
Score,,0.2167192608805208,10,0.29951712207813025,0.15298638784254964,0.05019447874698087,2.167192608805208,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
NewsSite-Nuxt,ms,6633.440000006557,10,9836.300000011921,5202.100000023842,1398.0058084478242,66334.40000006557,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
TodoMVC-Angular-Complex-DOM,ms,8474.499999988078,10,12672.899999976158,2208.9999999403954,3931.6387996882104,84744.99999988079,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
TodoMVC-JavaScript-ES5,ms,8971.940000018478,10,11871.200000047684,5940.800000011921,1869.620920704784,89719.40000018477,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
Editor-CodeMirror,ms,2443.600000014901,10,5308.000000029802,1182.9000000357628,1333.5080868797259,24436.00000014901,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
TodoMVC-Vue,ms,3187.3600000023844,10,6610.9000000059605,1278.0000000298023,1762.5144066749208,31873.600000023842,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
TodoMVC-JavaScript-ES6-Webpack-Complex-DOM,ms,8167.97999998331,10,12648.399999946356,6104.699999988079,2450.917758171557,81679.7999998331,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
Editor-TipTap,ms,3828.680000004172,10,5819.299999952316,2760.9000000059605,1044.3736281047243,38286.80000004172,all,x86_64,speedometer3,2026-03-13 19:15:38,,,,tsan-all,,,linux,arch,,Speedometer3,0,2026-03-13 19:15:38,
